CD_PROCEDIMENTO,NM_PROCEDIMENTO
32030037,RAIOX COSTELAS - POR HEMITORAX
32050038,RAIOX TORAX P.A
32050062,RAIOX TORAX: P.A. (INS E EXP) - LAT
32050070,RAIOX TORAX: P.A - LAT - OBLIQUAS
32050127,RAIOX PLANIGRAFIA BILATERAL DO TORAX
32050054,RAIOX TORAX: P.A - LAT
40805026,TORAX - 2 INCIDENCIAS
40805034,RX TORAX - 3 INCIDENCIAS
40805042,TORAX - 4 INCIDENCIAS
32050208,RX TORAX (1 OU 2 INCIDENCIAS) COM LAUDO OIT
99010054,RX DE TORAX(MANAGED CARE)
32050071,RX TORAX PA - USINA
98408050,PACOTE RAIO X TORAX PA P INS EXP (NDI SP)
32050119,RAIOX PLANIGRAFIA HEMITORAX - MEDIASTINO - (POR PLANO)
40803031,COSTELAS - POR HEMITORAX
99320035,RX - COSTELAS - POR HEMITORAX DIREITA
99320036,RX - COSTELAS - POR HEMITORAX ESQUERDA
40805018,TORAX - 1 INCIDENCIA
32990056,RX TORAX OIT

